id,province_id,rainfall_mm,average_temperature,average_humidity,rainy_day_count,year
1077,77,602.7,28.78,73.5,94,2566
1080,80,2750,27.85,82.5,178,2566
1081,81,1574.2,29.03,83.74,155,2566
1082,82,4312.7,28.33,82.68,204,2566
1083,83,2022.9,30.24,76.35,159,2566
1084,84,1446,27.81,78.91,170,2566
1085,85,3900,28.54,77.76,191,2566
1086,86,1691.7,28.08,79.33,146,2566
1090,90,2325.5,28.45,77.41,170,2566
1091,91,2754.1,28.74,81.83,180,2566
1092,92,2429,28.68,82.22,185,2566
1093,93,2335.9,27.81,83.5,173,2566
1094,94,2534.5,27.85,80.08,158,2566
1095,95,2927.2,27.51,81.25,176,2566
1096,96,3480,27.81,78.91,170,2566